v8-version,7,6,303,29,-node.15,0
code-creation,Builtin,3,1559,0x12cf620,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,1562,0x12cf700,85,StringToNumber
code-creation,Builtin,3,1564,0x12cf760,129,ToName
code-creation,Builtin,3,1566,0x12cf800,271,NonNumberToNumber
code-creation,Builtin,3,1569,0x12cf920,271,NonNumberToNumeric
code-creation,Builtin,3,1571,0x12cfa40,251,ToNumber
code-creation,Builtin,3,1573,0x12cfb40,292,ToNumberConvertBigInt
code-creation,Builtin,3,1575,0x12cfc80,307,ToNumeric
code-creation,Builtin,3,1578,0x12cfdc0,269,NumberToString
code-creation,Builtin,3,1580,0x12cfee0,474,ToInteger
code-creation,Builtin,3,1582,0x12d00c0,490,ToInteger_TruncateMinusZero
code-creation,Builtin,3,1584,0x12d02c0,530,ToLength
code-creation,Builtin,3,1586,0x12d04e0,140,Typeof
code-creation,Builtin,3,1589,0x12d0580,69,GetSuperConstructor
code-creation,Builtin,3,1591,0x12d05e0,133,BigIntToI64
code-creation,Builtin,3,1594,0x12d0680,277,I64ToBigInt
code-creation,Builtin,3,1596,0x12d07a0,116,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,1604,0x12d0820,2673,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,1607,0x12d12a0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,1609,0x12d12e0,15826,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,1612,0x12d50c0,40,KeyedStoreIC_Slow
code-creation,Builtin,3,1614,0x12d5100,40,LoadGlobalIC_Slow
code-creation,Builtin,3,1617,0x12d5140,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,1619,0x12d51a0,36,LoadIC_Slow
code-creation,Builtin,3,1621,0x12d51e0,20,LoadIC_StringLength
code-creation,Builtin,3,1623,0x12d5200,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,1626,0x12d5220,3240,LoadIC_Uninitialized
code-creation,Builtin,3,1628,0x12d5ee0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,1631,0x12d5f20,6724,StoreIC_Uninitialized
